	cluster	aDC	B-cells	Basophils	CD4+ memory T-cells	CD4+ naive T-cells	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD8+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	cDC	Class-switched memory B-cells	DC	Endothelial cells	Eosinophils	Epithelial cells	iDC	ly Endothelial cells	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Memory B-cells	MEP	Monocytes	mv Endothelial cells	Myocytes	naive B-cells	Neutrophils	NK cells	NKT	pDC	Plasma cells	Platelets	pro B-cells	Tgd cells	Th1 cells	Th2 cells	Tregs
C23	cluster2	9.39E-19	0.032567643	0.046548681	0	8.56E-19	8.92E-21	1.92E-19	0	0	0	0.00635607	1.60E-18	0.007718666	0.033855755	0	0.003894829	0.022113662	0.003087976	0.012541838	3.09E-20	0.016907868	0.002053745	0.007949353	0	0.010934566	0	0	0.003991673	0.004210922	0.016719266	0.011384735	2.94E-18	0.012611247	0.004720052	0.00331159	0.021463017	7.58E-19	8.36E-18	0	0.026500932	0.007112534
C24	cluster2	0.005331369	0.050486582	0.030967203	0	0	4.64E-20	2.21E-18	1.01E-17	1.02E-19	0.003997026	0.012455488	0	0.0052557	0.066102042	0	0.002574328	0.003190254	0.006612104	4.53E-18	0	0.005609299	0.003813602	0	0	0.018913173	0	0	0.001431578	0.002903516	0.011745602	0.010839501	3.17E-18	0.035623101	0.000404732	0.02068902	0.009585872	0.001415134	1.99E-19	0	0.032393358	0.011679853
C25	cluster1	0	0.067316892	0.029540391	0.03651494	0.025847167	0.042213215	0.030403558	0.020624517	0.004187755	0.101176406	0.076225851	0.028907878	0.01604529	0.038208601	0.002561193	0.001040186	0.059253548	0.001138375	0.037120176	0	0.005646862	2.05E-20	0.001859016	0.010118208	0.02927957	0.000671543	1.23E-18	0.00217418	0.001649998	0.018351898	0	0.004890571	0	0	0.007394297	0.009934371	0.003434635	0.004173238	0.014952148	0.066422028	0
C26	cluster2	0.0057617	0.144618153	0.024849746	0	2.24E-18	0.002992934	0	0	8.44E-21	0.056482397	0.059932429	0.013890937	0.003197892	0.080512796	2.26E-19	0.003063197	0	0.003601158	2.55E-18	0	0.004274431	0.001445732	0.004090056	5.64E-21	0.064963919	0	0	0.002273391	0.002898096	0.044758265	0.005562061	0	0.014205017	0.006697137	0.018856251	0.027595333	0.008785398	0	1.19E-19	0.03963973	0.003948519
C27	cluster2	6.63E-19	0.052916171	0.043446476	0	0	4.81E-18	4.11E-18	1.41E-18	3.39E-05	0.090734792	0.078776252	0.030200134	0.003180783	0.058792598	1.24E-19	0.003999899	0.03103576	0.004394152	0	0	0.00797498	0.000504984	0.003024523	0.004837643	0.025014626	0.004276669	1.23E-18	0.002834934	0.002331053	0.004693686	0.004091855	0	0.015624447	0.006524316	0.03039647	0.00698899	0.001535293	1.31E-18	0	0.080622836	1.00E-17
C28	cluster2	0	0.053519256	0.021738262	9.03E-20	3.04E-18	0	1.29E-18	0	3.31E-19	7.11E-19	0.000626133	6.87E-18	0.003537707	0.063937681	3.63E-19	0.004212242	1.83E-19	0.005490246	2.38E-18	0	0.002527958	0.001395052	0.000541348	0	0.025996691	0	1.71E-18	0.00239503	0.001135485	0.006490546	0.010592636	2.98E-18	0.037645143	0.002783333	0.03633234	0.034307511	0.001480603	1.43E-18	0	0.023674668	0.012685608
C29	cluster2	0.009063879	0.026622623	0	1.97E-18	2.25E-18	6.33E-18	5.76E-18	4.29E-18	0	1.04E-18	0	0	1.98E-19	0.046404201	0	0.007201997	1.55E-19	0.00623827	9.22E-18	0	0.016512866	0.010603894	0.005787381	0	0.015995128	0.006016747	0	0.008785847	0.000654699	0.002944072	0.009775987	9.23E-18	0.015156028	0.001953603	0.017190106	0.065020502	0	6.03E-18	1.38E-20	0.028012033	0.003870716
C3	cluster2	0.044864473	0.027497965	0.04131288	2.34E-18	5.13E-18	1.55E-18	0	8.85E-19	1.06E-19	0.054768593	0.07802698	0.026097687	0.01168463	0.013510932	0	0	0.010604036	0.00262027	0	4.95E-19	0.010778167	0.008887441	0.004103084	0	0.011469431	0.012918539	3.11E-18	0.004142389	0.000481259	0.010820445	0.00867114	0.001477324	0.043720744	0.028488552	0	0	0	1.36E-17	0.019487035	0.042093033	0
C30	cluster1	0	0.151317695	0	0.002579551	3.22E-20	0	0	0	0	0.06121607	0.055557227	0.01644937	0.007386799	0.087981481	0	0.00291987	0	0.001209136	3.24E-18	3.09E-19	0.006386419	0.002385205	0.002668741	0.002617322	0.070583523	0.013513851	8.02E-19	6.19E-21	0.006231109	0.02636161	0.000972682	0.017792618	0.009826604	0.009880456	0.025326772	0.061749431	0.002467962	8.63E-18	8.38E-19	0.067953405	3.61E-19
C31	cluster2	0	0.092379235	6.10E-23	0.001994322	0	2.36E-18	0	0	0	0	0.008621368	3.16E-18	0	0.079167881	1.66E-19	0.011985634	0.054783014	0.004553268	0.033380632	0.000322828	0.007745558	0.001347822	0	0.002164121	0.039635735	0.02032062	2.88E-18	0.00443814	0.002971607	0.012860448	1.05E-21	0	0.000388594	0.007395332	0.047745133	0.060655641	2.85E-19	4.02E-18	7.92E-18	0.060264594	0.000733392
C32	cluster2	0	0.010036642	0.099008331	0	0	0.000122202	0	4.01E-18	0.019267939	0.015250457	0.02551696	1.22E-18	3.16E-18	0.055141876	0	0.002431344	0	0.007927285	1.48E-18	1.12E-19	0	0	6.40E-19	9.94E-20	5.76E-18	0	0	0.000709293	0	5.28E-21	2.01E-19	0	0	2.50E-18	0.006934467	0.115257584	0.001774156	4.97E-18	0.013114274	0.031074885	0.02173207
C33	cluster1	0.010723848	0.093507445	0.024755043	7.08E-19	0.003199938	0	1.23E-18	0	0	0.035767917	0.0349243	0.01652147	0	0.049702603	0	0.003611569	0.004484518	0.004548141	0	4.26E-20	0.005666064	0.006356514	0.003736455	0.00565225	0.055669475	0.025661227	0	0.005652948	0	0.003043668	0.003019643	0.002577222	0.00382805	0.023898083	0.042758919	0.08382509	0.010981733	0	0.038790132	0.035733048	0
C34	cluster1	0	0.112936133	0.019149153	0.013130625	0.008643179	0.023211384	0.027946759	0.00281548	0.000594102	0.088605835	0.082849789	0.026082564	0.085829182	0.066297663	0.005239686	5.43E-21	0.070608414	0.002906876	0.084280437	0	0	0	0.002457516	0.012659389	0.052725918	0.025667974	6.72E-19	0	0.006947371	0.030571432	9.99E-19	0.004311296	0.005116832	0.009281791	0.00995943	0.015967455	2.36E-20	7.98E-19	9.99E-19	0.044245957	0.013804064
C35	cluster1	0	0.091630648	0.038316135	0.004782932	0	0.003335635	1.68E-20	8.13E-19	2.55E-19	0.034104635	0.05242035	0.007546409	0.004818638	0.109840767	0	0.001702246	0.033464189	0.004397867	2.16E-20	1.14E-19	0.003769071	0.000380735	0.000804969	0.003183388	0.03501264	0.018093178	0	0.002395345	0.00158087	1.37E-18	0.003488549	0.000271305	0.004837908	0.010174207	0.08025459	0.021036499	0.007063473	1.71E-18	0.009747687	0.092592326	0.004785327
C36	cluster2	0.000208845	0.037162338	0.051247312	0	4.66E-19	6.55E-18	1.01E-18	0	1.93E-19	0.021993049	0.025016924	0.010530096	0.004305778	0.051972928	0	0.00526	0.021576734	0.004572234	3.14E-18	0	0.012262315	0.001798243	0.003091391	0.002772877	0.013582039	0.006817353	0	0.00401583	0.000676969	0.00473154	0.005159472	1.92E-20	0.008471442	0.005820738	0.024296752	0.035393105	0	0	0.003778508	0.044284137	0
C37	cluster2	0	0.056892611	0.0289949	0.004419206	0	0	0.000266636	0.000762213	3.98E-20	0.070868545	0.066061871	0.031667844	0.034008399	0.060997451	0.000476002	0.000428921	0.010662733	0.003847931	0.01917473	9.24E-20	0	0	0	0.003291316	0.020886175	0.00179083	1.44E-18	1.64E-19	0	0.006572425	0.004632996	0.026267484	0.039693099	0.005072208	0.00488425	0.045128365	0	2.40E-21	0.003566544	0.050632733	0.00415973
C38	cluster2	0.002577027	0.060086094	0.02864292	0	2.83E-18	0.000209376	0	7.29E-18	0.001381597	0.013511987	0.018251929	4.61E-19	6.37E-19	0.07048652	1.33E-19	0.000314641	0	0.009327329	1.95E-18	0	0.003021864	0.001682181	1.16E-19	3.62E-19	0.031981005	0.007944329	3.59E-18	0.003012817	0.000724671	0.009320636	0.008630612	2.35E-18	0.038396076	0.011888753	0.04482826	0.014108592	0.001060224	0	0.002754313	0.045129637	0.005010832
C39	cluster2	0.048456154	0.032953247	0.022320487	0.001919107	6.86E-19	0	4.65E-19	0	0.001442282	0.003238911	0.013043063	1.21E-18	0	0.069312197	0	0.008993702	0.023575097	0.005117382	0.013790253	0	0.021975168	0.009989522	0.00405002	0.000946097	0.016104667	0.034609385	0	0.008002087	9.33E-20	0.001047692	0.005064805	0	0.020440045	0.009285157	0.029531457	0.028851004	0.008033584	0	0.02005444	0.074582571	0.005096597
C4	cluster1	4.01E-18	0.211031978	1.75E-18	0.0266941	0.024889595	0.032437179	0.022716775	0.00803573	0.00193424	0.137363986	0.09871964	0.053149501	0.088599416	0.077174366	0.003482836	0	0.021035781	0.000905935	0.041918573	0	0	4.64E-19	0.002332214	0.010789127	0.107274117	0.025824977	1.15E-18	0.00071885	0.002560038	0.064102731	0	0.029284396	0.011721223	0.008545608	0	0.032624863	0	0	0.02254034	0.033744891	5.02E-20
C40	cluster2	0.003712399	0.025890553	0.019566196	0	0	2.03E-18	4.29E-19	0	0	0.004245237	0.020152267	0.004290031	0	0.063093824	0	0.003387091	0	0.002796871	0	3.92E-20	0.011045886	0.006091864	0.000880746	8.07E-21	0.003873349	0.002413086	2.11E-18	0.000305507	0.00215838	0	0.008741209	0.011410355	0.011174879	0.012873956	0.038776043	0.027160487	0.002470467	3.85E-18	0	0.058880363	0.001575366
C41	cluster2	0	0.050392354	0.006399387	0	0	2.52E-18	5.27E-05	1.94E-18	0	0	1.78E-19	1.31E-18	0	0.075925915	1.12E-18	0.011312465	0.000874407	0.005570071	0	0.000801956	0.011258015	0.006771479	0	0	0.030034594	0.024415929	0	0.016455935	0.002060852	0	0.01333368	0	0.027465094	0.00427653	0.029413384	0.03063158	0.004115115	3.54E-18	0.00814719	0.014115365	0.010103092
C42	cluster2	0	0.15013051	0.034037331	0.006564891	0	1.38E-19	1.74E-19	0	6.17E-22	0.031027755	0.03401909	2.47E-19	0.017098544	0.078641346	0	0.001647992	0.007441965	0.002790585	0	4.38E-19	0.003813065	1.15E-20	0.001749595	0.004345794	0.08102857	0.021625293	0	0.000671612	0.000368966	0.031243904	0.007660499	0	0.010357654	0.003076333	0.037123742	0.046798211	0.002352239	1.16E-17	0.000455991	0.098810246	0
C43	cluster2	0	0.005652659	0.048778196	1.34E-19	3.89E-18	3.94E-18	4.41E-18	3.69E-18	0	2.48E-18	1.00E-18	2.40E-18	0	0.018396642	0	0.009733883	0.047588399	0.012297337	0.004417651	3.01E-19	0.005467416	0	0	0.001197947	0.007866913	0.011711267	3.13E-18	0.015267358	0.004453095	0.011933911	0.008062847	1.71E-18	0.013446892	0.003360038	0.001207467	0.053892867	0	2.80E-18	1.09E-19	0.049329425	4.26E-18
C44	cluster2	0.003076162	0.132010729	0.00188836	0.005557646	1.46E-18	0.001198358	0	0	8.78E-20	0.015025634	0.025146074	0	0.063441941	0.081561142	0	0.005278576	0.000273855	0.002424886	0.003242947	3.56E-05	0.022704179	0.003726671	0.013627259	0.004210189	0.06180857	0.000519691	0	0.003177031	0.001232615	0.031153896	0.00627761	0	0.008095848	0.010760786	0.007416143	0.052571112	9.99E-19	7.99E-18	5.18E-18	0.035903882	0.002246049
C45	cluster2	0	0.070082873	0.054262537	0.004342135	0	0	2.24E-19	0	1.15E-19	0.03581836	0.053517302	0.000417733	0.005391176	0.037835482	1.59E-19	0.005130315	0.025775415	0.008580934	0.020577049	4.51E-20	0	0	4.14E-20	0.003507022	0.033341751	0.004811317	2.42E-18	0.001469538	0.004091004	0.024548539	0.002002658	0.006729309	0.023933051	0.002754403	0.011963567	0.055453514	0	1.69E-19	8.53E-18	0.050025952	0.012588722
C46	cluster2	0.005294476	0.102901485	0.015385179	0.003116991	0.010766553	0.021446004	0.010110331	0.037947198	0.007889398	0.103438304	0.075557289	0.022031716	0.087315289	0.044648974	0.001368925	0.001849996	0.00212814	0.006329037	0.016038576	5.40E-19	0.005975995	0.00215194	0.006704199	0	0.063180227	0.035475444	0	0.005534036	0.000346021	0.034479554	0.006518333	0.006320304	0.051519708	0.007890622	0	9.06E-20	0	3.80E-18	0.032034406	0	1.65E-18
C47	cluster2	0	0.093685526	0.042644137	0.00503869	0	0.011087687	0.0067727	1.14E-18	0.001344397	0.07077569	0.060624521	0.010106911	0.01876981	0.06833012	6.49E-21	0	0.002621334	0.003724225	0.000924714	0	0.006081022	1.55E-19	0.003475295	0.002398581	0.052374439	0.012285233	0	0.000622737	0.002474912	0.016944798	0.00612953	0	0.016589172	0.00257817	0.017519046	0.00944437	0	2.09E-18	0	0.091378752	0.011211573
C48	cluster2	0.009249207	0.047835479	0.059427556	0	4.82E-18	2.70E-18	0	1.84E-17	1.98E-19	0	8.17E-19	2.40E-17	1.91E-19	0.040159754	1.00E-18	0	0.018503781	0.006088455	0	0	0.017790694	0.010581066	0.002716279	0	0.039209526	0.022967933	1.27E-18	0.012122174	0.003630321	0.009349776	0.012395255	8.68E-18	0.032619258	0.004227544	0.020590205	0.010003689	0.031026073	1.47E-17	0.049031963	0.012904888	0
C49	cluster2	0.06537037	0.057014633	0.090328568	0	9.25E-20	6.60E-18	0	0.020818667	0.003187205	0.078167861	0.063386009	0.059854763	0.034151986	0.02479911	0	0	0.033315107	0.001945847	0.059140754	1.08E-18	0.020044928	0.019417891	0.00332874	0.001010551	0.065814937	0.080143947	1.68E-18	0.033510703	0	0.012725251	4.96E-19	0	0.083935628	0.032785303	0.010203716	0.022011546	0.024204205	0	0.154328904	0.003012225	8.42E-18
C5	cluster2	0.001927029	0.113365313	0.003836023	0.002903816	0	4.21E-22	0	3.77E-18	0	0.067143413	0.081627049	0.014012064	0.013637666	0.060685713	0	0.002996789	0.000732858	0.005367446	0.002685052	3.52E-19	0.00949303	0	0.007029769	0.000843752	0.052119516	0.004049003	0	0.000211757	0.002115129	0.02858475	0.007001627	0.003918733	0.038723823	0.022722364	0.01925946	0.023432123	1.81E-18	7.62E-19	0	0.068439574	1.41E-20
C50	cluster2	0.01083015	0	0.035654408	0	5.67E-20	0	1.13E-17	0	0.011117098	0	1.73E-19	1.05E-18	0.000970057	0.014143039	2.45E-19	0.012838558	0.036489093	0.004582909	0.036701809	1.12E-19	0.012517662	0.001221513	0.005606992	0.00381112	0.021290463	0.071434785	9.50E-18	0.019651116	0.00892308	0.00264782	0.003311217	0	1.88E-18	0.001386448	0.020585354	0.003972353	0.018868282	2.16E-17	0.076697701	0.06701816	5.23E-18
C51	cluster1	0.040930355	0.039007248	0.04770146	1.86E-20	0	0	1.06E-18	4.71E-19	0	0.028096141	0.027558352	0.021225509	0.033445263	0.043595706	0	0.001386187	0.023474274	0.00325416	0	3.16E-20	0.024398717	0.012143213	0.00907849	0.004940183	0.024850819	0.003656357	0	0.002452043	0	0.003216937	0.000894493	0.005913647	0.035343771	0.010561974	0.007041097	0.064494462	0	0	0.037669265	0.009035997	0
C52	cluster2	0.024080746	3.42E-20	0.04997331	5.94E-19	6.62E-19	0	0	0.004033582	7.99E-19	0	0.006964712	0.013387742	0.008601782	9.76E-19	5.25E-20	0.0019549	0	0.006471324	0	5.82E-19	0.018132589	0.013154206	0.008702905	0	0	0.007421237	4.95E-20	0.00176623	0.001374142	0	0.008912431	0.020387513	0.028018044	0.029278708	0.000433854	0.00696162	0	3.54E-20	0.018427369	0	5.06E-21
C53	cluster1	0.003494671	0.139806703	0.030418266	0.025086567	0	0.023223892	1.01E-18	5.55E-19	2.36E-20	0.141651073	0.134846738	0.051346857	0.012820776	0.069480268	0.000142936	0	0.013973638	0	0.005984676	0	0.000759765	0	0.002524604	0.005229238	0.05984117	0.005367422	8.15E-18	2.59E-19	0.002862273	0.037717528	0.003655185	0.02748441	0.000789446	0.003946116	0.016904289	0.02374913	0	6.84E-19	9.97E-18	0.127489197	0.003585451
C55	cluster2	0	0.068069939	0.022717685	0.000825596	1.75E-18	2.59E-19	6.69E-19	0	4.14E-19	0.003404501	0.015477332	0	6.00E-19	0.062893118	0	0.003188476	0.022336618	0.002127169	2.36E-18	3.10E-21	0.004318971	0.001692583	0.00070886	0.000475413	0.028894879	0.005544765	2.12E-18	1.81E-22	0.000482164	0.009347093	0.009347473	5.14E-18	0.037329541	0.006178214	0.021718319	0.03800241	0	3.84E-18	0	0.050007222	0.013653018
C56	cluster2	0.02253518	0.098826685	0.096690812	0	1.84E-18	0	0	0	0	0.052539189	0.053917803	0	0	0.054627642	6.40E-19	0.000950605	6.64E-19	0.00432503	1.27E-19	0	0.003634093	0	0.006216385	0	0.05040887	0	7.30E-18	0	0	0.016619834	0.002531016	0	0.034386325	0.012980036	0.028314307	0.041129894	6.64E-19	2.02E-18	0.01402186	0.012562698	0.006031715
C57	cluster1	0	0.171623708	3.85E-18	0.012191421	0.056309819	0.042951997	0.005474464	0.017550121	0.002153395	0.26339731	0.204976675	0.085786361	0.030606273	0.102170741	0.000567716	5.63E-21	0.008680226	0.001278239	0.011456701	0	3.56E-19	5.60E-20	0.001736099	0.003627549	0.083522683	0.019457176	0	0.001680018	0.001202337	0.026249393	0	0.012726293	0	0.004586858	0.029354729	0.023215917	0.003098303	0	0.031904072	0.063815831	9.94E-18
C58	cluster2	0.045563596	0.166573949	0.077802852	5.40E-18	0	5.54E-18	1.05E-19	0.031983341	0.000696489	0.114441967	0.1090054	0.090219684	0.016189146	0.092387383	8.37E-20	0	0.028954958	0.004453859	0.022893417	3.45E-18	0.007956569	0.016744096	0.000643384	0.000409787	0.123131881	0.106257099	1.35E-17	0.018699821	0	0.025723854	0	3.40E-18	0.083995314	0.032858764	0.060678253	0	0.047671959	1.62E-17	0.217070124	6.47E-19	1.68E-17
