symbol	cluster	TGFA	TGFB1	TGFB1I1	TGFB2	TGFB3	TGFBI	TGFBR1	TGFBR2	TGFBR3	TGFBR3L	TGFBRAP1
C47	cluster2	1885	3235	13	2	20	931	5053	9404	210	0	397.9
C48	cluster2	581	7380	69	2	12	585	2075	2556	34	0	374.5
C49	cluster2	240	9782	106	2	13	1644	914	2331	161	0	365.38
C5	cluster2	3404	2933	12	2	14	666	5632	10459	256	0	356.67
C50	cluster2	217	1787	26	0	2	209	709	858	6	0	127.25
C51	cluster1	1678	7237	86	5	41	5419	3802	10303	533	1	854.96
C52	cluster2	1013	2355	2	0	9	1457	2093	3160	74	0	119.4
C53	cluster1	2008	1859	3	11	48	2530	4240	6969	990	0	439.08
C55	cluster2	2595	3366	8	1	8	865	5328	6931	56	0	323.86
C56	cluster2	2025	4228	17	7	29	2043	2726	6140	350	1	507.23
C57	cluster1	661	5620	34	21	98	4510	3312	9009	1306	1	1118.42
C58	cluster2	165	8286	18	3	16	2392	965	1644	317	4	287.44
C59	cluster1	864	3534	14	7	85	2892	3250	10673	615	0	857.69
C6	cluster1	988	4492	34	13	29	2392	2743	8227	666	0	691.12
C60	cluster1	270	5266	25	12	77.04	4679	2201	5756	1119	0	850.63
C61	cluster1	1302	3332	23	21	37	4625	4614	7939	861	0	655.04
C62	cluster1	1367	5063	56	5	23	1048	3151	5754	205	0	556.67
C63	cluster1	3171	3461.01	41	5	17	1012	5565	8396	198	0	407.85
C64	cluster2	1505	5464	29	0	5	1584	4082	9452	32	0	296.54
C65	cluster1	2465	5499	16	6	34	3297	4906	8806	587	0	631.35
C66	cluster1	498	10003	47	3	53	4840	1984	3151	246	0	437.24
C67	cluster1	868	6167	63	0	31	1013	2274	2840	133	0	309.28
C68	cluster2	396	7401	38	2	9	1171	1570	1953	105	5	275.65
C69	cluster1	709	3591	10	3	47	3481	4020	6429	976	1	690.83
C7	cluster1	846	4241	40	8	88	4310	4105	8788	1178.02	0	782.28
C70	cluster1	1252	3904	12	2	39	5164	4805	7095	1144	0	544.11
C71	cluster2	2665	3043	17	6	14	465	5073	7476	96	0	377.35
C72	cluster1	412	7941	33	4	64	3986	2401	3778	1099	0	619.25
C73	cluster1	398	3057	9	1	65	4563	3025	7353	989	0	765.65
C74	cluster1	1072	4928	38	15	23	2259	2896	7129	67	0	562.54
C75	cluster2	2853	3285	21	9	26	4533	5477	9675	703	0	436.47
C76	cluster2	2147	3121	5	1	9	1841	6538	10861	20	0	369.24
C77	cluster2	2624	3823	33	0	13	1362	3916	6201	63	0	281.56
C78	cluster2	1833	3024	16	2	20	7856	4147	9917	136	0	510.7
C79	cluster1	1427	3166	29	5	63	4730	4685	11636	552	0	504.02
C8	cluster2	1230	3067	29	1	9	1634	5741	8531	27	0	423.86
C80	cluster2	2123	7131	81	0	8	861	3942	4068	53	0	212.25
C82	cluster1	1083	3103	10	2	26	4609	3263	7197	351	0	383
C83	cluster1	1079	4570	20	0	46	3010	2713	4274	634	1	518.56
C84	cluster1	1512	5083	10	1	20	998	3997	6272	146	0	422.97
C85	cluster2	1030	4932	8	0	13	2528	2722	4308	130	1	244.06
C86	cluster1	852	4449	38	8	22	3921	3233	4330	524	0	490.93
C87	cluster1	740	2937	4	5	53	6842	2489	5743	482	0	638.99
C89	cluster2	1411	2475	18	5	11	2542	2637	8535	118	0	479.63
C9	cluster1	2202	4701	39	2	15	782	4271	8515	218	1	602.83
C90	cluster1	1753	3617	24	3	42	2641	3313	6869	590	1	530.34
C91	cluster1	984	4428	26	8	69	2508	2666	7179	506	1	480.67
C92	cluster2	1577	6014	23	2	19	1262	4425	7391	63	0	486.29
C93	cluster1	1091	5417	35	2	43	2413	2305	4738	167	1	576.64
C94	cluster1	508	8470	14	1	94	2376	2321	4301	1120	1	665.27
C95	cluster1	2269	4593	18	0	24	2724	3692	8419	258	0	402.84
C96	cluster2	293	5039	14	1	24	1681	1619	2994	353	3	332.49
C97	cluster2	2452	4058	16	2	11	162	3637.03	4380	73	0	209
C98	cluster1	637	8229	59	0	17	3048	2568	3367	133	1	571.28
C99	cluster2	1275	8720	86	2	11	1445	2035	5287	99	1	173.85
